														
																				
					 t 	 S 		 E 		 I 		 R 		Date	Actual-Confirmed	Actual	 S 	 E 	 I 	 R 	
					 15 	" 14,999,444.33 "	 -147.88 	 399.64 	 105.92 	 89.43 	 23.70 	 68.60 	18.25743236	17-Mar-2020	172	0.172	" 14,999.44 "	 0.40 	 0.09 	 0.07 	
					 16 	" 14,999,243.12 "	 -201.21 	 543.76 	 144.12 	 121.68 	 32.25 	 93.44 	24.84148814	18-Mar-2020	227	0.227	" 14,999.24 "	 0.54 	 0.12 	 0.09 	
					 17 	" 14,998,969.35 "	 -273.77 	 739.84 	 196.09 	 165.56 	 43.88 	 127.24 	33.79985971	19-Mar-2020	311	0.311	" 14,998.97 "	 0.74 	 0.17 	 0.13 	
					 18 	" 14,998,596.87 "	 -372.48 	" 1,006.63 "	 266.79 	 225.26 	 59.70 	 173.23 	45.98872228	20-Mar-2020	369	0.369	" 14,998.60 "	 1.01 	 0.23 	 0.17 	
					 19 	" 14,998,090.08 "	 -506.79 	" 1,369.62 "	 362.99 	 306.49 	 81.23 	 235.81 	62.57295175	21-Mar-2020	450	0.45	" 14,998.09 "	 1.37 	 0.31 	 0.24 	
					 20 	" 14,997,400.55 "	 -689.53 	" 1,863.49 "	 493.86 	 417.02 	 110.52 	 320.94 	85.13739951	22-Mar-2020	514	0.514	" 14,997.40 "	 1.86 	 0.42 	 0.32 	
					 21 	" 14,996,462.42 "	 -938.13 	" 2,535.40 "	 671.91 	 567.39 	 150.37 	 436.78 	115.838252	23-Mar-2020	579	0.579	" 14,996.46 "	 2.54 	 0.57 	 0.44 	
					 22 	" 14,995,186.09 "	" -1,276.33 "	" 3,449.53 "	 914.13 	 771.98 	 204.59 	 594.39 	157.608894	24-Mar-2020	686	0.686	" 14,995.19 "	 3.45 	 0.77 	 0.59 	
					 23 	" 14,993,449.69 "	" -1,736.41 "	" 4,693.15 "	" 1,243.61 "	" 1,050.33 "	 278.35 	 808.83 	214.4398606	25-Mar-2020	790	0.79	" 14,993.45 "	 4.69 	 1.05 	 0.81 	
					 24 	" 14,991,087.47 "	" -2,362.22 "	" 6,384.92 "	" 1,691.77 "	" 1,429.02 "	 378.69 	" 1,100.59 "	291.759471	26-Mar-2020	893	0.893	" 14,991.09 "	 6.38 	 1.43 	 1.10 	
					 25 	" 14,987,874.07 "	" -3,213.39 "	" 8,686.18 "	" 2,301.26 "	" 1,944.20 "	 515.18 	" 1,497.54 "	396.9512123	27-Mar-2020	1046	1.046	" 14,987.87 "	 8.69 	 1.94 	 1.50 	
					 26 	" 14,983,503.15 "	" -4,370.92 "	" 11,816.22 "	" 3,130.04 "	" 2,645.03 "	 700.83 	" 2,037.60 "	540.0567546	28-Mar-2020	1155	1.155	" 14,983.50 "	 11.82 	 2.65 	 2.04 	
					 27 	" 14,977,558.38 "	" -5,944.77 "	" 16,072.96 "	" 4,256.74 "	" 3,598.33 "	 953.30 	" 2,772.33 "	734.7307265	29-Mar-2020	1285	1.285	" 14,977.56 "	 16.07 	 3.60 	 2.77 	
					 28 	" 14,969,474.24 "	" -8,084.13 "	" 21,860.96 "	" 5,788.00 "	" 4,894.93 "	" 1,296.60 "	" 3,771.86 "	999.5365462	30-Mar-2020	1414	1.414	" 14,969.47 "	 21.86 	 4.89 	 3.77 	
					 29 	" 14,958,483.06 "	" -10,991.19 "	" 29,729.15 "	" 7,868.19 "	" 6,658.22 "	" 1,763.29 "	" 5,131.57 "	1359.703527	31-Mar-2020	1528	1.528	" 14,958.48 "	 29.73 	 6.66 	 5.13 	
					 30 	" 14,943,543.52 "	" -14,939.54 "	" 40,421.67 "	" 10,692.52 "	" 9,055.74 "	" 2,397.52 "	" 6,981.07 "	1849.506485	1-Apr-2020	1677	1.677	" 14,943.54 "	 40.42 	 9.06 	 6.98 	
					 31 	" 14,923,244.80 "	" -20,298.72 "	" 54,945.87 "	" 14,524.20 "	" 12,314.78 "	" 3,259.04 "	" 9,496.56 "	2515.482874	2-Apr-2020	1790	1.79	" 14,923.24 "	 54.95 	 12.31 	 9.50 	
					 32 	" 14,895,678.33 "	" -27,566.47 "	" 74,662.93 "	" 19,717.06 "	" 16,743.42 "	" 4,428.64 "	" 12,917.33 "	3420.772039	3-Apr-2020	1986	1.986	" 14,895.68 "	 74.66 	 16.74 	 12.92 	
					 33 	" 14,858,267.64 "	" -37,410.68 "	" 101,407.48 "	" 26,744.55 "	" 22,758.60 "	" 6,015.18 "	" 17,568.28 "	4650.949101	4-Apr-2020	2092	2.092	" 14,858.27 "	 101.41 	 22.76 	 17.57 	
					 34 	" 14,807,544.64 "	" -50,723.01 "	" 137,643.70 "	" 36,236.22 "	" 30,923.55 "	" 8,164.95 "	" 23,890.11 "	6321.83335	5-Apr-2020	2273	2.273	" 14,807.54 "	 137.64 	 30.92 	 23.89 	
					 35 	" 14,738,859.36 "	" -68,685.28 "	" 186,665.59 "	" 49,021.89 "	" 41,997.06 "	" 11,073.51 "	" 32,479.99 "	8589.874757	6-Apr-2020	2491	2.491	" 14,738.86 "	 186.67 	 42.00 	 32.48 	
